Time,S1,S2,S3,S4,S5,
0:38:31.703,4.382598877,-0.785110474,7.696914673,0.990643597,0.934168146,
0:38:31.723,4.856643677,-0.923980713,8.458267212,0.990513773,0.934233866,
0:38:31.753,4.486740112,-1.374084473,7.609527588,0.990319037,0.934332447,
0:38:31.777,5.060165405,-1.381271362,7.668182373,0.990163249,0.934411311,
0:38:31.782,4.839889526,-1.570404053,7.841766357,0.990130793,0.934427741,
0:38:31.802,5.529418945,-1.670959473,8.470245361,0.990000969,0.934493461,
0:38:31.821,4.863830566,-1.896026611,8.895217896,0.989877636,0.934555895,
0:38:31.844,4.780029297,-1.674560547,8.64024353,0.989728339,0.934631474,
0:38:31.863,4.695037842,-1.296264648,8.430740356,0.989605006,0.934693908,
0:38:31.895,4.770462036,-1.000595093,8.631851196,0.989397288,0.93479906,
0:38:31.905,4.492736816,-0.904815674,8.625869751,0.989332376,0.93483192,
0:38:31.931,4.654342651,-0.775543213,8.479827881,0.989163605,0.934917356,
0:38:31.948,4.778839111,-0.701309204,9.194488525,0.989053255,0.934973219,
0:38:31.964,4.198242188,-0.992202759,9.36088562,0.988949396,0.935025795,
0:38:31.980,4.347885132,-0.885665894,8.447494507,0.988845537,0.935078371,
0:38:32.007,4.748916626,-0.996994019,7.786697388,0.988670275,0.935167093,
0:38:32.032,4.751296997,-1.281906128,8.114700317,0.988507995,0.935249244,
0:38:32.040,5.251693726,-1.387252808,8.388839722,0.988456065,0.935275532,
0:38:32.058,5.288803101,-1.647018433,8.792266846,0.988339224,0.93533468,
0:38:32.092,5.225357056,-1.763137817,9.125061035,0.988118523,0.935446404,
0:38:32.105,5.220565796,-1.703277588,8.689315796,0.988034138,0.935489122,
0:38:32.118,5.128387451,-1.678146362,7.898025513,0.987949752,0.93553184,
0:38:32.137,5.517456055,-1.491394043,7.926757813,0.98782642,0.935594275,
0:38:32.157,5.47076416,-1.497390747,8.775497437,0.987696596,0.935659995,
0:38:32.177,5.54019165,-1.724838257,8.852127075,0.987566772,0.935725715,
0:38:32.196,5.56892395,-1.680541992,9.01373291,0.987443439,0.935788149,
0:38:32.223,5.052978516,-1.425552368,9.074783325,0.987268177,0.935876872,
0:38:32.260,5.588088989,-1.138259888,9.005340576,0.987028003,0.935998454,
0:38:32.262,5.234939575,-1.096359253,9.187316895,0.987015021,0.936005026,
0:38:32.275,5.209793091,-1.052062988,9.31539917,0.986930635,0.936047744,
0:38:32.306,5.033828735,-1.076004028,8.490600586,0.986729408,0.93614961,
0:38:32.321,4.718978882,-0.892852783,8.265533447,0.98663204,0.936198901,
0:38:32.335,4.497512817,-0.953903198,7.717269897,0.986541164,0.936244905,
0:38:32.354,4.590896606,-0.706100464,7.609527588,0.986417831,0.936307339,
0:38:32.375,5.021850586,-1.034103394,7.997390747,0.986281516,0.936376345,
0:38:32.402,4.8722229,-1.315414429,8.718048096,0.986106254,0.936465067,
0:38:32.425,4.527450562,-1.498580933,8.528900146,0.985956956,0.936540646,
0:38:32.437,4.582519531,-1.394424438,7.749588013,0.985879062,0.936580078,
0:38:32.453,4.721374512,-1.226837158,7.583190918,0.985775203,0.936632654,
0:38:32.476,4.335922241,-1.332183838,7.626281738,0.985625906,0.936708232,
0:38:32.500,5.04699707,-1.390838623,7.955490112,0.985470117,0.936787096,
0:38:32.524,5.116424561,-1.556045532,8.136245728,0.985314328,0.936865961,
0:38:32.541,5.331893921,-1.647018433,8.514541626,0.985203978,0.936921823,
0:38:32.566,5.409713745,-1.562026978,8.625869751,0.985041698,0.937003973,
0:38:32.626,5.208602905,-1.344146729,8.475036621,0.984652227,0.937201134,
0:38:32.629,5.203811646,-1.184936523,8.205688477,0.984632753,0.937210992,
0:38:32.630,5.278030396,-1.044876099,8.168579102,0.984626262,0.937214278,
0:38:32.635,5.445617676,-1.065231323,8.342163086,0.984593806,0.937230708,
0:38:32.654,5.507873535,-1.150222778,8.98260498,0.984470474,0.937293142,
0:38:32.670,5.214584351,-1.450698853,8.388839722,0.984374306,0.937338836,
0:38:32.691,5.7915802,-1.160995483,8.900009155,0.984250417,0.937396726,
0:38:32.713,5.334289551,-1.393234253,8.437927246,0.984120628,0.937457372,
0:38:32.729,5.553359985,-1.166976929,8.046478271,0.984026235,0.937501479,
0:38:32.750,5.559341431,-1.289093018,7.419189453,0.983902346,0.937559368,
0:38:32.781,5.808349609,-1.289093018,7.960281372,0.983719461,0.937644825,
0:38:32.802,5.934036255,-1.643432617,8.825790405,0.983595571,0.937702714,
0:38:32.811,5.959182739,-1.825393677,9.08795166,0.983542476,0.937727524,
0:38:32.839,5.164306641,-1.728424072,8.407989502,0.98337729,0.93780471,
0:38:32.851,5.330703735,-1.328582764,7.742416382,0.983306496,0.93783779,
0:38:32.872,5.021850586,-1.195709229,8.021331787,0.983182606,0.93789568,
0:38:32.888,5.155929565,-0.985031128,8.502563477,0.983088214,0.937939786,
0:38:32.916,5.068527222,-1.105926514,8.034500122,0.982923028,0.938016972,
0:38:32.935,5.426467896,-1.350143433,8.731216431,0.982810937,0.938069349,
